nom;sigle;parent;responsable;adresse;email;telephone;siteWeb;pageFacebook;Latitude;Longitude;numero
Ministère des Sports de la Jeunesse et de l'Emploi;MSL;;Anûuyirtole Roland SOMDA;Ouagadougou Kadiogo Burkina Faso;contact@sport.gov.bf;(226) 25 25 25 25;https://www.sports.gov.bf/contact;https://web.facebook.com/SportsBurkina226/?rdc=1&_rdr;12.372351896974589; -1.517229125513305;1
Institut National de la Jeunesse de l’Education Physique et des Sports;INJEPS;;Pr Ousséni Diallo;Secteur 9 Ouagadougou Burkina Faso;;(226) 25 34 29 25;;https://web.facebook.com/p/ISSDH-Institut-des-Sciences-du-Sport-et-du-D%C3%A9veloppement-Humain-100069829488386/?_rdc=1&_rdr;12.36540583284003;-1.5558388036226465;2
Office de Gestion des Infrastructures Sportives;OGIS;;Boukaré ZOUNGRANA;Stade du 4 Août - Secteur 9 Ouagadougou Burkina Faso;;(226) 25 34 29 28;;;12.368765294462593;-1.5535971873375896;3
Fonds National pour la Promotion du Sport et des Loisirs;FNPSL;;Cdt Karim Souabo;Av. Loudun Koulouba Ouagadougou;;(226) 25 30 34 79;https://www.servicepublic.gov.bf/;https://web.facebook.com/p/Fonds-National-pour-la-Promotion-du-Sport-et-des-Loisirs-100068785380899/?locale=fr_FR&_rdc=1&_rdr;12.367198202358832;-1.5199232771051514;4
Conseil National de la Jeunesse;CNJ-BF;;Moumouni DIALA;9GHC+WQW, Dassasgo, Ouagadougou;cnjbf2018@gmail.com;73 06 72 89;http://cnjbf.bf/;https://www.facebook.com/cnjbf/;12.370341179716347;-1.5100078107085793;5
Le Fonds «Faso Kuna-Wili»;FKW;;Hamidou SAWADOGO;Avenue du Burkina Faso;infos@fasokuna-wili.bf;+226 25 30 00 64;https://fasokuna-wili.bf/;;12.372090831460923;-1.506898123018045;6
Agence Nationale Pour l'Emploi-Burkina Faso;ANPE;;Yacouba GUIGMA;Rue Begnon Damien KONE- 01 BP 521 Ouagadougou 01, Cite An III, Burkina Faso;anpeburkina2022@gmail.com;78 98 43 40;anpe.gov.bf;https://www.facebook.com/p/Agence-Nationale-Pour-lEmploi-Burkina-Faso-100077195414963/;12.37228703432613;-1.5191882312506992;7
Institut des Sciences du Sport et du Développement Humain ISSDH (ex. INJEPS);ISSDH;;;9C8V+5M3, rue de Gounghin, Goughin, Ouagadougou;;25342929;;;12.366588111132856; -1.5558388;8
Fédération Burkinabè de Football;FBF;;Oumarou Sawadogo;57, Ouagadougou;;25417802;;https://www.facebook.com/federationburkinabedefootball/?locale=fr_FR;12.291423889857803;-1.492688059767323;9
Palais des Sports Ouaga 2000;;;Joachim NIKIEMA;Ouaga-2000;contact@palaisdessportsouaga2000.org;25 37 51 78;;https://www.facebook.com/palaisdessportsouaga2000/;12.319495139573881;-1.500130147190188;10
Drjpej-Plateau central;;;;Ziniaré, Burkina Faso;;;;https://www.facebook.com/p/Drjpej-Plateau-central-100069954750959/;12.59682885246652; -1.2973228797515108;11
DIRECTION REGIONALE DES SPORTS ET LOISIRS (KAYA);;;;;;;;;13.091624912053542;-1.0818078756355864;12
Plateau omnisport de Somgandé;;;;Somgandé, Ouagadougou;;;;;12.418488700212706;-1.4941367347378582;13
Fonds d'Appui à la Formation Professionnelle et à l'Apprentissage;FAFPA_BF;;M. Dougoutigui Pierre OUATTARA;Zone d�Activités Diverses, Ouagadougou;;25 33 33 20;fafpa.gov.bf;https://www.facebook.com/FAFPA.Burkina/;12.342162524481997;-1.4990014361064126;14
Stade Municipal Issoufou Joseph CONOMBO;;;;9F6C+594, Bilbalogho, Ouagadougou;;;;;12.360607319871008;-1.5290439524801052;15
COMET - Multi-disciplinary sports center for the national soccer team;COMET;;;7GV4+HMC, Unnamed Road, Ouaga 2000, Ouagadougou;;;;;12.297030491601529;-1.4931948443364245;16
Fédération Burkinabè de Taekwondo;;;;9C9V+MM, Goughin, Ouagadougou;passiontaekwondobf@gmail.com;70201091;;facebook.com/taekwondopassion;12.373129126432557;-1.556413460246315;17
Stade Olympique Naaba Baogo de Tanghin;;;;9FV8+XGP, Tangen, Ouagadougou;;;;;12.39507643296129;-1.53369916129341;18
Terrain de sport;;;;8FH9+QCV, rue Kalgo, Cissin;;;;;12.334870793601894;-1.5307146864240324;19
Terrain de football Ecole Kamsoghin;;;;8FXF+MCJ, Avenue Bassawarga, Kamsonghin, Ouagadougou;;;;;12.357766225369732; -1.5259649652885592;20
Asfa terrain;;;;Patte d�oie, Ouagadougou;;;;;12.328587577582695;-1.5211584471138615;21
Union Sportive des Forces Armées;USFA;;;9C8V+W8Q, Goughin, Ouagadougou;usfaburkina@gmail.com;;;https://www.facebook.com/usfaburkina/?locale=fr_FR;12.373201060398497;-1.555609343219362;22
Terrain Omnisports de Wayalguin;;;;9GWJ+F3F, Wayalguin, Ouagadougou;;71990946;;;12.401709100303774; -1.4681063977658912;23
